"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
9229,"28VA","heliport","Radford Aap Heliport",37.1847991943359,-80.5255966186523,1710,"NA","US","US-VA","Radford","no","28VA",,"28VA",,,
9230,"28WA","small_airport","Robert L Delanoy Airport",45.7304000854492,-122.735000610352,30,"NA","US","US-WA","Vancouver","no","28WA",,"28WA",,,
9231,"28WI","small_airport","Rutherford Airport",44.6040992736816,-92.0466003417969,790,"NA","US","US-WI","Arkansaw","no","28WI",,"28WI",,,
45814,"28XA","heliport","Doctors Hospital Heliport",27.606717,-99.479453,540,"NA","US","US-TX","Laredo","no","28XA",,"28XA",,,
9232,"28XS","small_airport","Flying G Airport",32.6459999084473,-96.3253021240234,470,"NA","US","US-TX","Kaufman","no","28XS",,"28XS",,,
9233,"29A","seaplane_base","Island Lake Seaplane Base",61.6288986206,-149.617996216,370,"NA","US","US-AK","Wasilla","no","29A",,"29A",,,
9234,"29AK","small_airport","Remington Field",64.0495986938477,-145.419006347656,1250,"NA","US","US-AK","Delta Junction","no","29AK",,"29AK",,,
9235,"29AR","heliport","White County Medical Center Heliport",35.251499176,-91.6910018921,273,"NA","US","US-AR","Searcy","no","29AR",,"29AR",,,
9236,"29AZ","small_airport","Paloma Ranch Airport",32.9056015014648,-112.900001525879,737,"NA","US","US-AZ","Paloma","no","29AZ",,"29AZ",,,
9237,"29C","small_airport","Grindstone Air Harbor Airport",44.0477981567383,-82.9141998291016,640,"NA","US","US-MI","Port Austin","no","29C",,"29C",,,
9238,"29CA","heliport","Landells Heliport",33.2559013366699,-116.454002380371,940,"NA","US","US-CA","Desert Hot Springs","no","29CA",,"29CA",,,
9239,"29CL","heliport","Childrens Hospital Los Angeles Heliport",34.0960998535156,-118.290000915527,500,"NA","US","US-CA","Los Angeles","no","29CL",,"29CL",,,
9240,"29CN","small_airport","Dubey Airport",38.8498992919922,-120.833999633789,2400,"NA","US","US-CA","Georgetown","no","29CN",,"29CN",,,
9241,"29CO","heliport","St Mary's Hospital & Medical Center Heliport",39.0915985107422,-108.55899810791,4650,"NA","US","US-CO","Grand Junction","no","29CO",,"29CO",,,
9242,"29F","small_airport","Joe Vaughn Spraying Airport",34.3959007263184,-101.766998291016,3500,"NA","US","US-TX","Kress","no","29F",,"29F",,,
9243,"29FA","seaplane_base","Caloosa Downtown Seaplane Base",26.6350002288818,-81.875,2,"NA","US","US-FL","Fort Myers","no","29FA",,"29FA",,,
9244,"29FD","heliport","Gadsden Memorial Hospital Heliport",30.570499420166,-84.5498962402344,230,"NA","US","US-FL","Quincy","no","29FD",,"29FD",,,
9245,"29FL","heliport","Halifax Hospital Medical Center Heliport",29.2014007568359,-81.0539016723633,46,"NA","US","US-FL","Daytona Beach","no","29FL",,"29FL",,,
9246,"29GA","small_airport","Rolling Meadows Airfield",33.3843002319336,-84.6318969726562,808,"NA","US","US-GA","Sharpsburg","no","29GA",,"29GA",,,
9247,"29II","small_airport","Norm's Airport",41.6598014831543,-86.807502746582,750,"NA","US","US-IN","Michigan City","no","29II",,"29II",,,
9248,"29IL","heliport","Brown Heliport",40.3111000061035,-88.9511032104492,790,"NA","US","US-IL","Heyworth","no","29IL",,"29IL",,,
9249,"29IN","small_airport","Homestead Airport",41.0759010314941,-85.386100769043,863,"NA","US","US-IN","Columbia City","no","29IN",,"29IN",,,
9250,"29IS","heliport","Norman Rittenhouse Heliport",40.7574996948242,-88.5133972167969,640,"NA","US","US-IL","Fairbury","no","29IS",,"29IS",,,
9251,"29KS","small_airport","Navrat Airport",38.4827995300293,-97.0113983154297,1470,"NA","US","US-KS","Lincolnville","no","29KS",,"29KS",,,
9252,"29KY","small_airport","Cramer Aerodrome",36.8931007385254,-87.4272003173828,640,"NA","US","US-KY","Hopkinsville","no","29KY",,"29KY",,,
9253,"29LA","heliport","Our Lady of the Lake R.M.C. Heliport",30.4043998718262,-91.1044998168945,46,"NA","US","US-LA","Baton Rouge","no","29LA",,"29LA",,,
9254,"29LL","heliport","Monroe County Ambulance Service Heliport",38.3391990661621,-90.1624984741211,630,"NA","US","US-IL","Waterloo","no","29LL",,"29LL",,,
9255,"29LS","seaplane_base","L Auberge Du Lac Hotel Seaplane Base",30.207799911499,-93.2652969360352,8,"NA","US","US-LA","Lake Charles","no","29LS",,"29LS",,,
9256,"29MA","heliport","Laminated Heliport",42.2014999389648,-72.5980987548828,135,"NA","US","US-MA","Holyoke","no","29MA",,"29MA",,,
9257,"29MD","small_airport","Schlosser Airport",39.3628005981445,-75.8127975463867,53,"NA","US","US-MD","Galena","no","29MD",,"29MD",,,
45453,"29ME","seaplane_base","Teconnet Seaplane Base",44.448,-69.530333,194,"NA","US","US-ME","China","no","29ME",,"29ME",,,
9258,"29MI","small_airport","Sawyer Field",42.5999984741211,-84.4499969482422,910,"NA","US","US-MI","Mason","no","29MI",,"29MI",,,
9259,"29MN","small_airport","Wetenkamp Airport",46.0283012390137,-96.3628005981445,990,"NA","US","US-MN","Tintah","no","29MN",,"29MN",,,
9260,"29MO","small_airport","Rollert Farm Airport",39.3507995605469,-94.5186004638672,1000,"NA","US","US-MO","Smithville","no","29MO",,"29MO",,,
9261,"29MT","small_airport","Craik Airport",47.738899230957,-115.502998352051,2500,"NA","US","US-MT","Trout Creek","no","29MT",,"29MT",,,
9262,"29N","small_airport","Kroelinger Airport",39.523998260498,-75.0463027954102,93,"NA","US","US-NJ","Vineland","no","29N",,"29N",,,
9263,"29NC","small_airport","29NC Airport",35.3116989135742,-81.6252975463867,930,"NA","US","US-NC","Shelby","no","29NC",,"29NC",,,
9264,"29NE","small_airport","Bartmess Airport",40.761100769043,-101.180999755859,3150,"NA","US","US-NE","Wallace","no","29NE",,"29NE",,,
9265,"29NH","heliport","Sunny Hill Landing Heliport",42.8884010314941,-71.7378005981445,822,"NA","US","US-NH","Lyndeborough","no","29NH",,"29NH",,,
9266,"29NJ","heliport","J L Gentile Heliport",39.483979848,-74.8808383942,110,"NA","US","US-NJ","Buena","no","29NJ",,"29NJ",,,"H-22"
45550,"29NY","heliport","Breezy Meadows Heliport",44.088,-76.269167,296,"NA","US","US-NY","Cape Vincent","no","29NY",,"29NY",,,
9267,"29OH","small_airport","Fox Airport",40.6864013671875,-81.3025970458984,1020,"NA","US","US-OH","Magnolia","no","29OH",,"29OH",,,
9268,"29OI","heliport","Jtv Heliport",41.8170013427734,-81.0690002441406,630,"NA","US","US-OH","Madison","no","29OI",,"29OI",,,
9269,"29OK","small_airport","Ditch Witch Airport",36.2999992370605,-97.3170013427734,1120,"NA","US","US-OK","Perry","no","29OK",,"29OK",,,
9270,"29OR","small_airport","Smith Private Airport",45.0317993164062,-122.957000732422,180,"NA","US","US-OR","Brooks","no","29OR",,"29OR",,"http://en.wikipedia.org/wiki/Smith_Private_Airport",
9271,"29PA","small_airport","Gardner Airport",40.5568008422852,-75.6432037353516,500,"NA","US","US-PA","Breinigsville","no","29PA",,"29PA",,"http://en.wikipedia.org/wiki/Gardner_Airport_(Pennsylvania)",
9272,"29PN","heliport","St Vincent Health Center Heliport",42.11169815,-80.08010101,731,"NA","US","US-PA","Erie","no","29PN",,"29PN",,,
